"Player","Season","DepthTeam","DepthPos","Madden.Rating","ReservePos","PosFFA","fantPts_est","fantPts_IDPG","fantPts_FFTODAY","fantPts_FFA","fantPts_FDATA","fantPts_agg","fantPts"
"Carlos Hyde",2014,"Sfo","RB",74,NA,"RB",88.1900699407098,NA,75.8,104.313217948718,106.1,99.5344292964759,68.1
"Michael Mitchell",2014,"Pit","FS",83,NA,"DB",68.8995504854384,NA,99.5,NA,NA,99.5,69.5
"Reshad Jones",2013,"Mia","SS",92,NA,NA,86.1992318327843,NA,99.5,NA,NA,99.5,113
"James Anderson",2012,"Car","SLB",87,NA,NA,101.410906649948,NA,99.5,NA,NA,99.5,60
"Champ Bailey",2008,"Den","LCB",97,NA,NA,NA,NA,99.5,NA,NA,99.5,57.25
"Danorris Searcy",2015,"Ten","SS",86,NA,"DB",72.0630762198925,105.8,80.5,86.115,NA,99.475,55.5
"Paul Posluszny",2017,"Jax","SLB",87,NA,"LB",97.1686761640048,92.9625,118.75,101.216666666667,NA,99.409375,62.75
"Ibraheim Campbell",2016,"Cle","SS",70,NA,"DB",44.789051569731,99.35,NA,98.2125,NA,99.35,41
"Allen Hurns",2017,"Jax","RWR",81,NA,"WR",94.3152322408258,NA,115,109.411238095238,102.8,99.3472341922965,79.9
"Graham Gano",2010,"Was","PK",61,NA,NA,99.3227442648938,NA,NA,NA,NA,99.3227442648938,114
"Owen Daniels",2015,"Den","TE",80,NA,"TE",84.1188096425606,NA,119.8,109.529155555556,104.2,99.2826550660387,92.7
"Aldrick Rosas",2017,"Nyg","PK",71,NA,"K",91.2249312361507,NA,NA,107.323448513118,NA,99.2741898746345,87
"Jeremy Shockey",2009,"Nor","TE",85,NA,"TE",93.812288888521,NA,100.7,104.7,NA,99.2561444442605,98.9
"Earl Thomas",2018,"Sea",NA,90.9374727765355,"RES","DB",NA,NA,99.25,NA,NA,99.25,NA
"Cortland Finnegan",2012,"Lar","LCB",92,NA,NA,77.9793432732011,NA,99.25,NA,NA,99.25,120.75
"Will Witherspoon",2011,"Ten","ROLB",84,NA,NA,76.2627435396966,NA,99.25,NA,NA,99.25,68.75
"Ahmad Bradshaw",2009,"Nyg","RB",73,NA,"RB",73.9443928242203,NA,124.5,124.5,NA,99.2221964121101,147
"Case Keenum",2016,"Lar","QB",75,NA,"QB",96.0002676861417,NA,48.7,110.955111111111,90.48,99.1451262657509,124.14
"Robert Quinn",2015,"Lar","RDE",93,NA,"DL",80.2020233322542,99.25,98.75,112.566666666667,NA,99.125,42
