"Player","Season","PosFFA","Team","fantPts_agg","fantPts_est","fantPts_FFA","fantPts_FDATA","fantPts"
"Felix Jones",2011,"RB","Dal",192.077909261296,172.555818522592,211.6,NA,101.3
"Randall Cobb",2014,"WR","Gnb",192.036364020325,168.508596971719,215.564131068931,222.3,251.633333333333
"Matthew Cassel",2012,"QB","Kan",191.668281796564,176.166063593129,207.1705,NA,87.34
"Deandre Hopkins",2015,"WR","Hou",191.623891397739,186.388282795478,196.8595,196.9,276.6
"Roy Williams",2008,"WR","Dal",191.5,NA,191.5,NA,5
"Trent Richardson",2013,"RB","Cle/ind",191.332379748312,191.332379748312,NA,NA,126.4
"Percy Harvin",2012,"WR","Min",191.263235419751,170.227304172835,212.299166666667,NA,155.433333333333
"Peyton Hillis",2011,"RB","Cle",191.183159013877,161.666318027753,220.7,NA,97.7
"Todd Gurley",2017,"RB","Lar",190.876685745091,153.808331044797,204.821726190476,214,348.3
"Mark Sanchez",2011,"QB","Nyj",190.845580202878,175.091160405756,206.6,NA,245.26
"Brandin Cooks",2017,"WR","Nwe",190.621048158264,184.511217970165,196.730878346364,200.5,187.7
"Vince Jackson",2014,"WR","Tam",190.384166296877,172.041473619394,208.726858974359,201.6,149.2
"Kurt Warner",2008,"QB","Ari",190.22,NA,190.22,NA,272.12
"Michael Vick",2013,"QB","Phi",190.199988702835,155.595577405671,224.8044,NA,104.2
"Jake Delhomme",2008,"QB","Car",190.06,NA,190.06,NA,178.62
"Adrian Peterson",2012,"RB","Min",189.873947590779,183.922895181558,195.825,NA,325.4
"Andre Johnson",2012,"WR","Hou",189.776089235557,160.843011804446,218.709166666667,NA,241.8
"Amari Cooper",2017,"WR","Oak",189.751658051689,186.185362676424,193.317953426955,204.4,136.4
"Michael Evans",2018,"WR","Tam",189.749805803436,176.095204247156,203.404407359716,205.4,NA
"Jonathan Kitna",2008,"QB","Det",189.66,NA,189.66,NA,43.72
"Ronnie Brown",2009,"RB","Mia",189.623539621791,168.647079243583,210.6,NA,132.48
"Christian Ponder",2012,"QB","Min",189.594686117666,181.364872235332,197.8245,NA,199.7
"Roy Williams",2009,"WR","Cin",189.5,51.1580789613535,189.5,NA,24.5
"Golden Tate",2015,"WR","Det",189.234918806195,181.508995581069,196.960842031321,186.4,170.233333333333
"Kellen Winslow",2008,"TE","Cle",189.2,NA,189.2,NA,81.3
"Ahmad Bradshaw",2011,"RB","Nyg",188.858659478057,162.517318956113,215.2,NA,177.6
"Zach Stacy",2014,"RB","Lar",188.805205771939,154.606245520943,201.809371794872,210,55.5
