"Player","Season","PosFFA","Team","fantPts_agg","fantPts_est","fantPts_FFA","fantPts_FDATA","fantPts"
"Derrick Johnson",2018,"LB","Oak",53.7405093672713,53.7405093672713,NA,NA,NA
"Dominique Rodgers Cromartie",2017,"DB","Nyg",53.7368457946928,66.4986915893855,40.975,NA,45.25
"Chris Ogbonnaya",2012,"RB","Cle",53.7257687832767,53.7257687832767,NA,NA,43.7
"Linval Joseph",2013,"LDT","Nyg",53.7059258953666,53.7059258953666,NA,NA,64.5
"Sheldon Rankins",2018,"DT","Nor",53.66429811499,53.66429811499,NA,NA,NA
"Ej Manuel",2015,"QB","Buf",53.6491918095148,98.4642420952111,24.1833333333333,38.3,43.84
"Jamar Taylor",2017,"DB","Cle",53.6409147502145,63.906829500429,43.375,NA,67.25
"Dion Sims",2015,"TE","Mia",53.639970102838,65.1987318723427,42.0812083333333,44.5,34.7
"Evander Hood",2013,"DE","Pit",53.6154888458412,53.6154888458412,NA,NA,43
"Chris Baker",2016,"DL","Was",53.6017717798409,56.0202102263486,51.1833333333333,NA,56.75
"Darius Slay",2014,"DB","Det",53.5870573000262,53.5870573000262,NA,NA,70.5
"Bill Winn",2014,"DL","Cle",53.5778229203917,53.5778229203917,NA,NA,38.75
"Ropati Pitoitua",2014,"DL","Ten",53.573676494444,53.573676494444,NA,NA,34
"Terrence Mcgee",2011,"LCB","Buf",53.5596058606898,53.5596058606898,NA,NA,29
"Leonard Pope",2011,"TE","Kan",53.5582840907391,31.1165681814782,76,NA,54.7
"Linval Joseph",2015,"DL","Min",53.5504980973703,49.1259961947405,57.975,NA,60.75
"Derrick Morgan",2018,"DE","Ten",53.5428286217219,53.5428286217219,NA,NA,NA
"Marquess Wilson",2014,"WR","Chi",53.5325025838065,55.5306599295177,51.5343452380952,42.7,37
"Tyvon Branch",2016,"DB","Ari",53.5293738214324,43.1504143095316,63.9083333333333,NA,28.5
"Dalton Sturm",2018,"QB","Dal",53.522637394511,53.522637394511,NA,NA,NA
